attributeName,measurementScale,domain,unit,numberType,attributeLabel,attributeDefinition,definition,formatString,missingValueCode,missingValueCodeExplanation
Fv/Fm,ratio,numericDomain,number,real,NA,"Maximum PhotoSystem II efficiency. Variable to maximal fluorescence
(dark).; from LICOR 6400XT",NA,NA,NA,NA
Fv'/Fm',ratio,numericDomain,dimensionless,real,NA,Variable to maximal fluorescence (light); from LICOR 6400XT,NA,NA,NA,NA
PhiPS2,ratio,numericDomain,dimensionless,real,NA,PhotoSystem II efficiency; from LICOR 6400XT,NA,NA,NA,NA
Adark,ratio,numericDomain,micromolePerMeterSquaredPerSecond,real,NA,"Dark photosynthetic rate (micromol CO2 m-2 s-1), Sign convention:
a value < 0 indicates respiration; from LICOR 6400XT",NA,NA,NA,NA
RedAbs,ratio,numericDomain,dimensionless,real,NA,Leaf absorptance at 640 nm; from LICOR 6400XT,NA,NA,NA,NA
BlueAbs,ratio,numericDomain,dimensionless,real,NA,Leaf absorptance at 460 nm; from LICOR 6400XT,NA,NA,NA,NA
%Blue,ratio,numericDomain,dimensionless,real,NA,Blue fraction; from LICOR 6400XT,NA,NA,NA,NA
LeafAbs,ratio,numericDomain,dimensionless,real,NA,Leaf Absorptance computed based on the fraction of blue light and blue and red absorptances entered by user; from LICOR 6400XT,NA,NA,NA,NA
PhiCO2,ratio,numericDomain,dimensionless,real,NA,quantum yield calculated from CO2 assimilation; from LICOR 6400XT,NA,NA,NA,NA
qP,ratio,numericDomain,dimensionless,real,NA,Photochemical quenching; from LICOR 6400XT,NA,NA,NA,NA
qN,ratio,numericDomain,dimensionless,real,NA,Non-photochemical quenching; from LICOR 6400XT,NA,NA,NA,NA
NPQ,ratio,numericDomain,dimensionless,real,NA,Alternative non-photochemical quenching; from LICOR 6400XT,NA,NA,NA,NA
ParIn@Fs,ratio,numericDomain,dimensionless,real,NA,Photosynthetically Active Radiation when Fs last set; from LICOR 6400XT,NA,NA,NA,NA
PS2/1,ratio,numericDomain,dimensionless,real,NA,Photosystem distribution factor; from LICOR 6400XT,NA,NA,NA,NA
ETR,ratio,numericDomain,dimensionless,real,NA,Electron transport rate; from LICOR 6400XT,NA,NA,NA,NA
Trmmol,ratio,numericDomain,millimolePerMeterSquarePerSecond,real,NA,Transpiration rate (mmol H2O m-2 s-1); from LICOR 6400XT,NA,NA,NA,NA
VpdL,ratio,numericDomain,kilopascal,real,NA,Vapor pressure deficit based on Leaf temp (kPa); from LICOR 6400XT,NA,NA,NA,NA
CTleaf,ratio,numericDomain,celsius,real,NA,computed leaf temperature degrees C; from LICOR 6400XT,NA,NA,NA,NA
